total_cost,violation,violating_hours,max_gap
59150.56113421959,True,16,2579.5825669999995
59336.412726126146,True,14,2678.849569
58786.29911314583,True,11,1728.066331
59475.7012828175,True,10,1038.628646000001
59325.93249859278,True,13,1807.7419229999996
58549.23053491762,True,14,1201.5938239999987
59538.68394955323,True,8,1218.4177609999997
58028.522600655146,True,12,777.502735
59166.45368902913,True,10,2456.186305999998
58702.063568739526,True,11,1022.9229209999994
58874.33930981194,True,11,1501.8933450000004
59190.31933508263,True,10,149.80066400000032
59276.21599971476,True,14,939.8400529999999
57923.71514846947,True,11,479.7857330000006
59668.490940229014,True,7,891.4542739999997
59415.33083712394,True,9,1534.5090059999993
59463.2049192578,True,13,822.5281770000001
59307.46045058989,True,9,1926.5187399999995
58976.01625590252,True,9,1926.5187399999995
58850.204760254244,True,8,1557.097249999999
58875.01036586877,True,9,1757.6431910000001
58398.782231869,True,10,1512.6138769999998
59233.99443581308,True,11,851.4854459999997
59631.59080913617,True,12,1499.882876999999
59129.25431754951,True,8,1217.7771240000002
58807.54319959556,True,14,1857.4594560000005
59435.0175000137,True,10,1344.5742659999987
58955.074460493604,True,11,1387.656961999999
58514.087740612886,True,10,593.915388999998
59097.65324090172,True,13,1306.581200999999
59027.32788083149,True,8,583.9188940000004
59354.7474036635,True,8,2081.644725
59174.42132147797,True,7,1544.4731250000004
59617.2364470413,True,11,1633.376914999999
58594.71701585882,True,9,731.978282
57909.75887185488,True,16,1066.4445649999998
59287.50742269012,True,15,1929.5365010000005
59138.88315147092,True,12,917.6787230000009
58367.59509055079,True,7,2007.0322300000007
59764.798624417475,True,13,2347.7390780000005
58309.33960360935,True,15,1778.7918439999994
59220.38567686266,True,12,2139.123238
58962.62394966147,True,13,364.3845940000001
59500.528924193495,True,11,1716.9021080000002
57743.609026325925,True,13,1369.136923
59497.86487972102,True,13,1149.8919800000003
59174.28369432042,True,18,1493.6285310000003
59128.630602429286,True,8,2720.641022
59391.64378432857,True,11,1273.5649749999993
